open-tessera,pente-threat-4,pente-threat-31,pente-threat-22,open-tria,stretch-tria,open-pair,capture-threat,stretch-two,three-gap,pente-potential-1,pente-potential-2,captures,4-captures,can-block-trias,non-quiet-moves,move-index,not-in-shape,won
0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,1,1,8,0,1
0,0,0,0,0,0,-2,1,3,0,0,-1,0,0,0,1,30,5,1
0,0,-1,0,-1,0,3,0,1,0,0,0,0,0,0,1,19,-2,0
0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,1,4,43,-2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0
0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,13,0,0
0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,15,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,34,4,1
0,0,0,0,0,0,1,-2,0,0,0,0,1,0,0,4,39,-4,0
0,0,0,0,0,0,1,-1,-3,1,0,0,0,0,1,4,41,-3,0
0,0,0,0,0,0,-1,1,-1,0,0,0,-1,0,1,3,10,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0
0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,1,1,7,1,0
0,0,-1,0,-1,0,-2,2,0,1,1,0,-1,-1,1,2,53,4,0
0,0,0,0,0,0,-2,1,0,0,0,0,-1,0,0,2,36,7,1
0,0,0,0,0,0,0,-1,-2,-1,0,0,-1,0,0,4,25,-3,0
0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,14,0,1
0,0,0,0,0,0,1,-1,-1,0,-1,0,0,0,1,2,17,-2,0
0,0,0,0,-1,0,1,-1,1,0,0,0,1,0,0,2,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
0,0,0,0,0,-1,-2,1,1,1,1,-1,-1,-1,1,4,49,1,0
0,0,0,0,-1,0,-1,-1,-2,0,0,0,0,0,0,8,33,-2,0
0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,1,0,6,-1,1
0,0,0,0,0,0,2,-1,-1,-1,-1,0,1,1,1,2,52,-2,1
0,0,0,0,0,0,-1,0,2,1,0,0,1,0,0,3,26,3,1
0,0,0,0,0,0,1,-2,0,0,0,0,1,0,0,6,37,-6,0
0,0,0,0,-1,0,1,-1,-2,0,0,1,0,0,0,6,31,-4,0
0,0,0,0,0,0,-3,1,-1,0,0,0,0,0,0,3,20,1,1
0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,16,2,1
0,0,0,0,0,0,-3,0,1,0,1,0,0,0,0,0,18,2,1
0,0,0,0,-1,0,0,1,1,-1,0,0,0,0,0,3,42,5,1
0,-1,0,0,0,0,-2,1,1,1,1,0,-1,-1,0,2,51,2,0
0,-1,0,0,0,0,0,1,1,-1,0,0,0,0,0,2,44,2,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,3,1,0
0,0,0,0,0,0,-3,0,-1,0,0,0,0,0,1,2,12,0,1
0,0,0,0,0,0,-3,0,0,0,0,0,1,0,0,2,22,3,1
0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,1,1,48,1,1
0,0,-1,0,0,0,-1,2,0,0,0,0,-1,0,0,1,38,6,1
0,0,0,0,0,0,-1,0,2,1,0,0,1,0,0,1,28,4,1
0,0,-1,0,0,0,0,1,2,0,0,0,0,0,0,1,32,4,1
